Geographic Area,City,Median Income
WY,East Thermopolis town,17212
AR,Joiner city,17250
MI,Highland Park city,17250
SC,Jonesville town,17273
TN,Samburg town,17276
TX,Realitos CDP,17279
KY,McKee city,17286
MN,Bruno city,17292
SC,Vance town,17292
AL,Frisco City town,17311
AZ,Seven Mile CDP,17344
AR,Turrell city,17353
GA,Edison city,17371
AR,Dennard CDP,17377
AL,York city,17399
MS,Goodman town,17404
TX,Buckholts town,17414
IN,English town,17438
MN,White Earth CDP,17448
AR,Garland town,17500
IN,Fredericksburg CDP,17500
MO,Grandin city,17500
OK,Bennington town,17500
PA,Leeper CDP,17500
WV,Wayne town,17559
SD,Little Eagle CDP,17596
TX,Villa Verde CDP,17601
ME,Waldoboro CDP,17614
PA,Shippensburg University CDP,17617
OH,Nettle Lake CDP,17625
MT,North Browning CDP,17644
KY,Pineville city,17647
TX,Alto Bonito Heights CDP,17656
LA,Melville town,17670
TX,Alto town,17670
TX,Encino CDP,17692
KS,Soldier city,17750
VA,Clinchco town,17750
IL,Carbondale city,17764
GA,Ambrose city,17778
HI,Eden Roc CDP,17798
KY,Frenchburg city,17813
WV,Elk Garden town,17813
TN,Lyles CDP,17841
KY,Stearns CDP,17891
MS,Jonestown town,17895
MT,White Haven CDP,17917
OR,Kerby CDP,17917
WV,Pullman town,17917
MS,Macon city,17926
MO,Mill Spring village,17955
WI,Birch Hill CDP,18000
FL,Madison city,18060
AK,Slana CDP,18063
AZ,Blackwater CDP,18068
GA,Homerville city,18083
MI,Benton Harbor city,18085
AZ,Cibecue CDP,18088
TX,Pueblo Nuevo CDP,18107
AZ,Oljato-Monument Valley CDP,18125
AZ,Pirtleville CDP,18125
AR,Zinc town,18125
IL,Eddyville village,18125
MS,Cruger town,18125
MO,Weatherby town,18125
NM,Sheep Springs CDP,18125
OH,Tippecanoe CDP,18125
FL,Opa-locka city,18134
MS,Rosedale city,18153
AZ,South Komelik CDP,18167
LA,Waterproof town,18182
AK,Tanacross CDP,18194
KS,Arcadia city,18194
AL,Gordonville town,18224
KS,Leona city,18250
MO,Cabool city,18260
GA,Pineview town,18281
HI,Fern Forest CDP,18281
OK,Redbird Smith CDP,18292
MO,Doe Run CDP,18295
PA,Arnold City CDP,18309
AR,Parkdale city,18333
KY,Martin city,18333
NM,Folsom village,18333
OK,Taft town,18333
SC,Judson CDP,18333
WA,Ocean Park CDP,18333
AR,Mitchellville city,18393
MS,Metcalfe town,18393
AL,Beatrice town,18417
CO,Starkville town,18438
OH,Urbancrest village,18438
AL,White Hall town,18462
GA,Warrenton city,18472
IA,River Sioux CDP,18487
MO,South Lineville town,18500
NC,Gibson town,18500
AR,Waldo city,18505
MO,Mansfield city,18519
MT,Boneau CDP,18542
AR,Hughes city,18547
AR,Parkin city,18563
WA,Tonasket city,18576
VA,Exmore town,18580
IA,Jacksonville CDP,18594
LA,Ville Platte city,18619
LA,Bernice town,18625
TX,Escobares city,18636
NC,Tabor City town,18647
MT,Ballantine CDP,18654
OH,Lafferty CDP,18654
AL,Evergreen city,18661
AZ,Ali Chuk CDP,18661
MO,Howardville city,18684
VA,Independence town,18715
AL,Newbern town,18750
AZ,Casa Blanca CDP,18750
AR,LaGrange town,18750
AR,Vandervoort town,18750
KS,Langdon city,18750
MI,Rose City city,18750
MO,Climax Springs village,18750
MO,Livonia village,18750
MO,North Lilbourn village,18750
NE,McGrew village,18750
NC,White Oak CDP,18750
OK,Centrahoma city,18750
OK,Garvin town,18750
OK,Kemp town,18750
TN,Cumberland City town,18750
TX,Carbon town,18750
WI,Jump River CDP,18750
AL,Hayneville town,18802
WV,Chelyan CDP,18841
IN,Van Bibber Lake CDP,18854
VA,Cleveland town,18854
GA,Payne city,18864
NC,Raemon CDP,18875
MS,Friars Point town,18889
MS,Gloster town,18929
TX,San Juan CDP,18942
MO,Darlington village,18958
NE,Nora village,18958
NC,Maxton town,18971
TX,Oak Island CDP,18984
SD,Allen CDP,19000
TX,Chula Vista CDP (Zavala County),19000
AL,Forkland town,19063
GA,Richland city,19079
GA,Blairsville city,19107
NM,Navajo CDP,19118
KY,Pine Knot CDP,19132
GA,Broxton city,19135
AL,Cordova city,19139
NC,Cullowhee CDP,19155
AZ,Patagonia town,19157
NC,Ingold CDP,19157
GA,Talbotton city,19167
SD,Norris CDP,19167
KY,Mount Olivet city,19191
LA,Sicily Island village,19205
MI,Evart city,19211
CA,Dos Palos Y CDP,19219
NC,Beulaville town,19219
TX,Falfurrias city,19229
LA,Richwood town,19231
KY,Albany city,19238
NM,Maxwell village,19250
PA,Loretto borough,19250
OK,Cedar Crest CDP,19265
TN,Copperhill city,19274
MS,Darling CDP,19286
MS,Moorhead city,19286
SC,Denmark city,19286
KY,Pryorsburg CDP,19292
LA,Mamou town,19297
TX,Roma city,19299
MS,Winstonville town,19306
MS,Crawford town,19318
KY,Hickman city,19348
AZ,Kaibab CDP,19375
IL,Old Shawneetown village,19375
IN,St. Mary of the Woods CDP,19375
MO,Harris town,19375
NM,Picuris Pueblo CDP,19375
TX,South Alamo CDP,19375
VA,Rose Hill CDP (Lee County),19375
WA,Skamokawa Valley CDP,19375
SC,Brookdale CDP,19379
SC,Edisto CDP,19393
AR,Anthonyville town,19400
KY,Burkesville city,19403
LA,Winnsboro city,19409
IL,Hopkins Park village,19417
SC,Eastover town,19417
MO,Gainesville city,19427
MS,Waynesboro city,19436
VA,Whitesville CDP,19441
MI,Ahmeek village,19464
AR,Clarendon city,19471
KS,Reserve city,19500
MS,Benoit town,19500
TX,Powell town,19500
NM,Pecos village,19504
SC,Chesnee city,19516
IL,East St. Louis city,19520
GA,Fort Gaines city,19524
LA,Washington town,19531
MO,Frankclay CDP,19531
VA,Lovingston CDP,19531
AL,Clio city,19539
TX,Los Ebanos CDP (Starr County),19539
MT,Rocky Boy West CDP,19550
CA,Linnell Camp CDP,19560
TX,Clarksville city,19564
AL,Coffeeville town,19583
LA,Banks Springs CDP,19583
NE,Crab Orchard village,19583
NC,Belhaven town,19583
TX,Chula Vista CDP (Maverick County),19583
UT,Bryce Canyon City town,19583
OH,East Cleveland city,19592
AR,Madison city,19602
VA,Yogaville CDP,19605
AZ,Dolan Springs CDP,19615
TX,Pine Harbor CDP,19622
OH,Melmore CDP,19625
AR,Leslie city,19643
MO,Catron town,19643
OH,Lewistown CDP,19643
CA,Niland CDP,19653
LA,Gilbert village,19663
TX,Calvert city,19677
MS,Yazoo City city,19683
LA,Bastrop city,19712
SC,Scranton town,19712
NC,Roxboro city,19719
TN,Huntsville town,19727
AL,Hurtsboro town,19732
MS,Lumberton city,19745
IL,Pulaski village,19750
MO,Zalma village,19750
OR,Sumpter city,19750
WV,Pine Grove town,19750
MO,El Dorado Springs city,19760
PA,Duquesne city,19776
FL,Harlem CDP,19778
WV,Glen Jean CDP,19788
AL,Weogufka CDP,19792
GA,Norristown CDP,19792
NC,Fairmont town,19792
NC,North Wilkesboro town,19798
VT,Island Pond CDP,19813
MS,Oakland town,19815
TX,Novice city,19821
SC,Bishopville city,19824
WV,Raysal CDP,19836
SC,Saxon CDP,19842
IL,Florence village,19844
KY,Evarts city,19844
NC,Pollocksville town,19850
OH,Athens city,19855
LA,Lake Providence town,19857
GA,Pitts city,19861
AR,Wabbaseka town,19875
FL,Page Park CDP,19886
TN,Celina city,19913
NC,Norman town,19922
AR,Strong city,19931
TX,Santa Rosa town,19946
MO,Winona city,19953
IL,Rosiclare city,19955
FL,Brownsville CDP,19968
AL,Georgiana town,19969
AK,Northway Village CDP,20000
CA,Mount Hebron CDP,20000
ID,Clark Fork city,20000
MN,Evan city,20000
MN,Meadowlands city,20000
MO,Paynesville village,20000
NC,Hassell town,20000
ND,Woodworth city,20000
SC,Atlantic Beach town,20000
SC,Central Pacolet town,20000
NY,Kaser village,20048
AZ,Houck CDP,20060
FL,DeLand Southwest CDP,20074
MI,Muskegon Heights city,20083
AR,Eudora city,20104
OR,Bunker Hill CDP,20120
MO,Macks Creek CDP,20125
NM,Sanostee CDP,20125
TN,Linden town,20125
AR,McNeil city,20134
AL,Reform town,20136
MS,Pickens town,20139
MO,Eminence city,20139
NC,Elrod CDP,20139
MO,Birch Tree city,20144
AR,Elaine city,20156
LA,Jonesboro town,20156
WI,Lac du Flambeau CDP,20160
GA,Damascus city,20179
WV,Frank CDP,20179
NC,Hollister CDP,20192
WI,Woodruff CDP,20192
OR,Monument city,20208
IL,Mounds city,20227
LA,Evergreen town,20250
PA,Seven Springs borough,20250
FL,Hill 'n Dale CDP,20294
MS,Fayette city,20294
MS,Scooba town,20294
AR,Hunter town,20313
GA,Jeffersonville city,20313
MO,Collins village,20313
MO,Rutledge town,20313
WV,Iaeger town,20313
AR,Hatfield town,20323
TX,Sparks CDP,20323
NM,North Light Plant CDP,20352
AR,Summit city,20357
KY,Brodhead city,20379
MO,Weaubleau city,20391
GA,Franklin city,20398
AK,Grayling city,20417
KY,Hyden city,20417
MO,Bagnell town,20417
AZ,Chloride CDP,20431
LA,Opelousas city,20434
SC,Abbeville city,20440
MS,Eupora city,20461
AR,Chester town,20500
NC,South Henderson CDP,20500
IL,Venice city,20505
AR,Calico Rock city,20526
NE,Macy CDP,20536
OK,Tatums town,20536
CA,Indian Falls CDP,20542
TN,Iron City CDP,20547
CA,Isla Vista CDP,20550
MI,Mount Morris city,20563
MO,Cross Timbers city,20568
AR,Cotton Plant city,20583
NC,Brunswick town,20592
IL,Alorton village,20600
LA,Oil City town,20611
AL,Faunsdale town,20625
AL,Ridgeville town,20625
AK,Dot Lake Village CDP,20625
AZ,Maish Vaya CDP,20625
LA,Collinston village,20625
MS,Silver Creek town,20625
MO,Brimson village,20625
NM,Willard village,20625
NC,Garland town,20625
SD,Buffalo Gap town,20625
SD,Kyle CDP,20625
WV,War city,20625
TX,Encantada-Ranchito-El Calaboz CDP,20637
KY,Mount Vernon city,20651
GA,Lilly city,20655
TX,Reid Hope King CDP,20660
AZ,Whitecone CDP,20673
AL,Castleberry town,20677
SC,Converse CDP,20677
LA,Junction City village,20682
GA,Newington town,20694
TN,Red Boiling Springs city,20694
LA,Farmerville town,20698
CA,West Goshen CDP,20700
OH,Otway village,20714
TX,Gorman city,20735
NE,Reynolds village,20750
NC,McFarlan town,20750
VA,Pocahontas town,20750
IL,Ullin village,20781
WV,Smithfield town,20781
OK,Porum town,20813
TN,Big Sandy town,20813
AR,De Valls Bluff city,20833
CO,Romeo town,20833
KY,Bedford city,20833
MS,Lambert town,20833
FL,Palatka city,20837
LA,Krotz Springs town,20847
GA,Milledgeville city,20859
LA,Arcadia town,20875
KY,Pathfork CDP,20878
TN,New Tazewell town,20888
MS,Isola town,20893
OK,Swink CDP,20893
OK,Cartwright CDP,20898
NM,Cordova CDP,20915
KY,Fleming-Neon city,20917
SC,Fairfax town,20923
CA,Doyle CDP,20926
TX,El Cenizo city,20929
AK,Karluk CDP,20938
MN,Rice Lake CDP,20938
MO,Bunker city,20938
TX,Raymondville city,20938
GA,Union Point city,20944
CA,Bodfish CDP,20959
GA,Fort Valley city,20962
GA,Newton city,20962
MT,Ravalli CDP,20968
LA,Newellton town,20978
AR,Marvell city,20982
MO,Humansville city,21000
MT,Hot Springs town,21000
TN,Palmer town,21000
SC,Chester city,21003
AR,Dermott city,21017
TX,Olmito CDP,21027
GA,Collins city,21033
ID,Tensed city,21042
WI,Amberg CDP,21042
IL,Ford Heights village,21050
KY,Brownsville city,21063
GA,Chester town,21071
GA,Du Pont town,21071
KS,Ramona city,21071
KY,Cawood CDP,21071
MS,Okolona city,21071
GA,Lumber City city,21080
CO,Antonito town,21087
OK,Hitchcock town,21111
AZ,Sanders CDP,21125
WI,New Odanah CDP,21125
AL,Aliceville city,21131
FL,Aripeka CDP,21146
MT,Pablo CDP,21146
VA,Clover CDP,21159
AL,Morrison Crossroads CDP,21169
PA,Briar Creek borough,21181
WV,Burlington CDP,21181
SC,Southern Shops CDP,21199
OH,West Hill CDP,21204
FL,Pine Manor CDP,21214
WV,Mount Hope city,21218
NC,Dobbins Heights town,21220
MO,Ava city,21235
FL,West Samoset CDP,21237
AK,Mentasta Lake CDP,21250
AZ,Cornfields CDP,21250
AR,Jacksonport town,21250
AR,Nimmons town,21250
AR,Watson city,21250
CA,Pine Flat CDP,21250
FL,Dickerson City CDP,21250
KS,Aurora city,21250
KS,Cedar city,21250
KY,Ezel CDP,21250
MN,Midway CDP,21250
NM,Youngsville CDP,21250
NC,Kelford town,21250
OH,Wolfhurst CDP,21250
OK,Spaulding town,21250
SD,St. Francis town,21250
TX,Redfield CDP,21250
WI,Cable CDP,21250
GA,Metter city,21277
TN,Newport city,21288
NC,Rowland town,21298
TN,Guys town,21310
MT,Corvallis CDP,21319
NC,Fountain town,21324
NM,La Puebla CDP,21325
NC,Sparta town,21339
MS,Shelby city,21348
TX,Blessing CDP,21360
NM,Ojo Amarillo CDP,21364
VA,Courtland town,21372
CA,Friant CDP,21375
KY,Blackey city,21382
KY,Salyersville city,21384
WV,Cass CDP,21384
FL,Cocoa West CDP,21385
ND,Belcourt CDP,21385
NM,Thoreau CDP,21389
WV,Ridgeley town,21389
FL,Chiefland city,21404
ID,Stites city,21406
GA,Thomson city,21425
GA,Arlington city,21429
PA,Rankin borough,21429
GA,Abbeville city,21447
NC,Enfield town,21449
FL,Waverly CDP,21455
AZ,Tolani Lake CDP,21458
GA,Roberta city,21458
MN,Mizpah city,21458
MS,Artesia town,21458
OK,Wainwright town,21458
MO,Warsaw city,21471
AR,Banks town,21500
TN,Rutledge town,21500
MT,Heart Butte CDP,21518
GA,Sharon city,21528
SD,Lower Brule CDP,21538
NC,Pleasant Hill CDP,21544
AR,Lewisville city,21553
AK,Tetlin CDP,21563
GA,Cadwell town,21563
NC,West Jefferson town,21563
SC,Greeleyville town,21563
MO,Licking city,21568
FL,Franklin Park CDP,21574
NC,Bladenboro town,21587
LA,Starks CDP,21591
NC,Red Springs town,21602
LA,Boyce town,21607
MS,Belzoni city,21607
GA,Mountain City town,21613
CA,Poplar-Cotton Center CDP,21627
MI,Buena Vista CDP,21632
KY,Oneida CDP,21635
KY,Edmonton city,21649
GA,Summerville city,21662
AL,Akron town,21667
KS,Chautauqua city,21667
LA,Powhatan village,21667
MO,Haywood City village,21667
NM,Torreon CDP (Sandoval County),21667
TN,Whiteville town,21667
WI,Middle Village CDP,21667
GA,Experiment CDP,21681
LA,Delta village,21688
OH,Andover village,21688
KY,Pleasant View CDP,21696
WI,Siren village,21696
WV,Philippi city,21698
IL,Cairo city,21705
SC,Lynchburg town,21705
TN,Gainesboro town,21711
VA,Vansant CDP,21715
MT,Troy city,21719
NM,Santa Clara village,21724
KY,Manchester city,21731
OH,Middleport village,21731
GA,McCaysville city,21742
SC,Kingstree town,21743
IL,Pearl village,21750
MO,Freistatt village,21750
SD,Oglala CDP,21757
AL,Dozier town,21765
CA,Clear Creek CDP,21771
VA,Lafayette CDP,21778
KS,Kincaid city,21786
KY,Brooksville city,21786
KY,Corinth city,21786
KY,St. Charles city,21786
MS,Itta Bena city,21792
GA,Shellman city,21793
AL,Greensboro city,21797
KY,Munfordville city,21800
KY,Tompkinsville city,21817
IN,Laurel town,21818
OK,Boswell town,21827
TX,Commerce city,21836
LA,Wisner town,21838
AR,Wickes town,21845
TN,Harriman city,21862
KY,Cumberland city,21863
AZ,Klagetoh CDP,21875
AR,Chidester city,21875
AR,Dumas city,21875
IL,Thebes village,21875
KS,Barnes city,21875
KS,Englewood city,21875
KY,Irvine city,21875
KY,Stanford city,21875
MO,Homestown city,21875
NE,Arthur village,21875
NY,Mooers CDP,21875
NC,Lansing town,21875
OK,Strang town,21875
SC,Elko town,21875
FL,Gladeview CDP,21882
AZ,Rancho Mesa Verde CDP,21891
ME,Fort Fairfield CDP,21898
MO,Campbell city,21901
SC,Allendale town,21918
OK,Dustin town,21932
PA,Lumber City CDP,21940
CA,Westley CDP,21944
OH,Alvordton CDP,21944
MS,Durant city,21947
KY,Lovelaceville CDP,21953
AZ,South Tucson city,21964
LA,Simmesport town,21964
TN,Henning town,21964
VA,Cats Bridge CDP,21964
KY,Sandy Hook city,21974
NC,Jonesville town,21974
GA,Menlo city,22000
NM,Williamsburg village,22000
ND,Dunseith city,22000
MI,Edmore village,22006
IL,Harvey city,22014
GA,Keysville city,22019
NC,Clarkton town,22031
NC,Vandemere town,22031
AR,Helena-West Helena city,22055
MO,Moundville town,22059
SC,Scotia town,22059
GA,Dawson city,22065
MT,Superior town,22069
KY,Crab Orchard city,22072
MN,Hilltop city,22073
NM,Anthony city,22074
AR,Beedeville town,22083
AR,Bluff City town,22083
KY,Jamestown city,22083
MS,Bude town,22083
MO,Arbyrd city,22083
NE,Miller village,22083
OK,Osage town,22083
OK,Watts town,22083
KY,Middlesborough city,22090
AL,Hartford city,22094
OK,Hugo city,22094
GA,Bowdon city,22102
SC,Saluda town,22117
GA,Pelham city,22121
WV,Keystone city,22125
AZ,Arivaca CDP,22130
AL,Bellamy CDP,22132
GA,Hardwick CDP,22143
IA,Castana city,22143
SC,Perry town,22143
AL,Brighton city,22146
NE,Belmar CDP,22153
GA,Rentz city,22159
AR,Wilmot city,22188
IL,Fidelity village,22188
LA,Midway CDP,22188
MO,Burgess town,22188
NC,Hamilton town,22188
ND,Strasburg city,22188
OH,Haydenville CDP,22188
KY,Arlington city,22202
LA,Natchitoches city,22216
AR,Allport town,22222
KY,Breckinridge Center CDP,22247
AL,Gordon town,22250
NY,Yorkshire CDP,22250
TN,Viola town,22250
WI,Minocqua CDP,22250
GA,Quitman city,22260
PA,Kylertown CDP,22262
NC,Warsaw town,22263
IL,Madison city,22266
LA,Port Barre town,22273
MS,Gunnison town,22292
TX,Roxton city,22292
WI,Mole Lake CDP,22292
TX,Fort Hancock CDP,22313
CA,Ocotillo CDP,22321
MI,Brutus CDP,22321
MS,Woodland village,22321
TX,Talco city,22321
MS,Mount Olive town,22328
TX,Trinity city,22331
OH,Highland Holiday CDP,22344
MO,Alton city,22353
WV,Piedmont town,22353
AZ,Goodyear Village CDP,22361
NC,Morven town,22361
MO,Newburg city,22375
AL,Eutaw town,22377
TX,Abram CDP,22379
MI,Skidway Lake CDP,22384
MS,Bogue Chitto CDP (Kemper and Neshoba Counties),22389
TX,Timpson city,22396
VA,Keysville town,22400
CA,Stratford CDP,22401
GA,Garfield city,22404
AZ,Cedar Creek CDP,22411
ID,Butte City city,22411
FL,Palmona Park CDP,22412
SC,Blackville town,22413
AL,Selma city,22414
NC,Norlina town,22414
GA,Cordele city,22417
TX,Siesta Shores CDP,22428
FL,University CDP (Hillsborough County),22432
KS,McDonald city,22434
GA,Lyons city,22438
GA,Greensboro city,22449
FL,Greenville town,22450
CA,Westmorland city,22452
WV,Spencer city,22453
TX,Las Quintas Fronterizas CDP,22455
MO,Lilbourn city,22464
TX,Elsa city,22464
NY,New Square village,22470
AL,Leighton town,22500
AL,Vina town,22500
AK,Stony River CDP,22500
AZ,Wikieup CDP,22500
FL,Reddick town,22500
IL,Bingham village,22500
IL,Dowell village,22500
KS,Toronto city,22500
KY,Clarkson city,22500
KY,Inez city,22500
LA,Napoleonville village,22500
MI,Twining village,22500
MN,Denham city,22500
MN,Myrtle city,22500
MO,Arbela town,22500
MO,Barnett city,22500
MO,Cobalt village,22500
MO,McCord Bend village,22500
MO,Pollock village,22500
NM,Mountainair town,22500
OK,Boley town,22500
SC,Patrick town,22500
SC,Walterboro city,22500
SC,Winnsboro Mills CDP,22500
SD,Marty CDP,22500
TX,Laguna Heights CDP,22500
FL,Suncoast Estates CDP,22540
AL,Samson city,22556
TX,San Elizario city,22565
AZ,Steamboat CDP,22625
WI,Little Round Lake CDP,22632
OR,Fort Hill CDP,22633
TX,Kirbyville city,22639
TN,Lake City city,22663
KY,Louisa city,22667
VA,Pennington Gap town,22669
SC,Barnwell city,22672
AR,Marked Tree city,22674
SC,Buffalo CDP,22679
MS,Crosby town,22688
VA,Templeton CDP,22692
NY,East Randolph CDP,22708
MO,Mountain View city,22724
MS,Derma town,22734
LA,Bunkie city,22742
GA,Warwick city,22743
AZ,So-Hi CDP,22750
GA,Statesboro city,22763
AL,Rockford town,22778
KY,Liberty city,22788
TX,Pineland city,22794
NC,Pinetops town,22798
NC,Selma town,22798
TN,Ripley city,22808
GA,Colquitt city,22813
OH,Beaver village,22813
OK,Kinta town,22813
TN,Ducktown city,22813
GA,Twin City city,22829
NM,Carrizozo town,22841
MI,Barryton village,22857
MO,Parma city,22857
MO,East Prairie city,22877
TX,Scissors CDP,22886
GA,Remerton city,22894
WV,Bartley CDP,22895
GA,Forsyth city,22899
PA,Midland borough,22907
AL,Onycha town,22917
AZ,Jeddito CDP,22917
IN,Stinesville town,22917
MI,Farwell village,22917
MN,Leonidas city,22917
MN,Longville city,22917
NC,East Arcadia town,22917
NC,Fair Bluff town,22917
OK,Hanna town,22917
TX,Villa Pancho CDP,22917
WV,Beverly town,22917
NC,Andrews town,22941
AZ,Carrizo CDP,22946
AR,Ash Flat city,22946
AR,McGehee city,22963
MO,Hayti city,22964
MS,Mound Bayou city,22974
NM,Berino CDP,22974
MS,Sunflower town,22981
AL,Guin city,23000
KS,Stark city,23000
LA,Cheneyville town,23000
NC,Waco town,23000
LA,Clarks village,23008
AL,Selmont-West Selmont CDP,23015
LA,Grand Coteau town,23026
AL,Paint Rock town,23036
TX,Santa Rosa CDP,23049
AR,O'Kean town,23056
SC,Carlisle town,23056
CA,Lucerne CDP,23059
